Action:      | Deal 2 Base Damage to All Enemies. |
Cardinality: | 1                   |
Probability: | 100 %               |

Action:      | Apply 0.35 Stumble to All Enemies for 1 Turn. |
Cardinality: | 2                             |
Probability: | 50 %                          |

Action:      | Deal 3 Base Damage to All Enemies. |
Cardinality: | 2                   |
Probability: | 25 %                |

Action:      | Gain 1 Damage. |
Cardinality: | 2              |
Probability: | 25 %           |
